Average distance: 10687.6408099
Standard deviation distance: 729.425121966
Average time: 7.71999996901
Standard deviation time: 1.97082786004
Iteration;AltercentricAnt;AltercentricAnt_stdev;BadConflictAnt;BadConflictAnt_stdev;ClassicAnt;ClassicAnt_stdev;EgocentricAnt;EgocentricAnt_stdev;GoodConflictAnt;GoodConflictAnt_stdev;
0;17366.6727392;3026.7315966;;;;;12604.8925118;746.696570142;14915.6246184;1199.59191618
1;15570.9442534;1704.21062925;;;;;11994.039903;823.222418141;13848.371261;615.10137863
2;14536.0377675;801.094421755;;;;;12166.1324171;867.564760685;13357.7210382;822.304147368
3;13892.0101488;395.153727079;;;;;11967.5997916;757.193956396;12434.1948474;617.386100775
4;14599.9112344;353.072416431;;;;;12265.1519944;660.672439353;12604.2798896;663.359076027
5;13368.8398144;838.500779082;;;;;12849.5505582;968.768269863;12094.4351273;933.124351163
6;13868.4145539;520.182562277;;;;;12181.5345661;386.210516496;12358.9230213;231.658334894
7;12319.1243767;1068.74636157;;;;;12770.5922218;197.957533349;11329.3147906;946.578055225
8;13353.6725481;292.170942321;;;;;12120.4835939;326.2271779;11963.3401069;433.879865783
9;11449.6036399;1030.27827703;;;;;12541.4137286;483.546964872;11212.0424289;915.63553319
